numero_processo,fluxo,worker_outcome,tst_resultado,tst_codigo,g1_resultado,g2_resultado,tem_g1,tem_g2
10011267120215020060,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10014591120215020064,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00112494520225030073,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10004882920175020464,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008601520185060022,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001982520215190009,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007428920215080018,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10010572920175020432,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008618620215190004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00104383620215030036,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002880820205190061,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00022023120125020039,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00020104020205100801,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00008122020225190001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00100049020235030096,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10015461020195020719,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006065520225020714,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00106958220205030008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10008143120205020028,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00115939120175030108,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00107244620205030069,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00104540720225030019,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004130820215110014,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00117463120195150073,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011709520215020608,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007398920215100015,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10009989620215020433,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00208010920215040019,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10011646020215020003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000995120225070010,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00101097420225030105,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006112720195020021,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004729120225170014,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006613620225190007,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10016457220195020462,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10014318720185020051,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10008547420155020711,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10012133220225020435,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006407220205020464,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10014078720225020061,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10002284620225020473,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00015987520165110008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00111770720165090007,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00010756420175090661,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00103166420175030003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005382420175120002,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10011627720195020709,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011469220215020341,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00102416620235030180,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10010075220215020435,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10002839020225020054,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001407520165090041,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00006221120225060004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005938920225070017,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001265820225020009,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10009297320205020603,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00101403820225030059,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10013919220215020086,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105533820215030010,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10017052420195020081,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10012277520225020383,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10002479220215020374,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007310520215070013,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00011371320195090022,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001309120225020075,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105884120225180011,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000453720225090008,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00111311420225150145,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00117891820215150066,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008114220225110006,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00112824120215180012,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003540420215080014,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00011043420115090012,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008913020175080114,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007428420225050003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001146920215050023,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10010272420215020603,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10009669720215020431,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00011294720195060013,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105973120215180013,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10014682120215020242,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10009724120225020085,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00102206720185030018,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005569120215090130,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008702620215090651,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007804220135020053,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10003308520215020317,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00104591420215030003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007807320165120048,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10014382320215020068,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00104353420215030084,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10002537320215020027,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011574820215020042,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10015456920215020035,G2→TST,INDEFINIDO,Desprovido,236,,Provimento em Parte,False,True
10012636420215020703,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10015314520215020016,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011663920225020021,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10005246420165020607,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10014642920215020712,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004947020185060411,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000528020225060018,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10012124820225020079,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00010582320195120031,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00010488520115050020,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00011687020175050036,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00203058320215040405,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000669020215220103,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10000326220225020025,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10010598620225020702,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005630320205050010,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011672120205020077,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10019735220175020080,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10009954720205020314,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001750520225020008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10007544220215020701,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001533320215020605,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10004277620205020008,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10010067920175020056,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00002858820155020065,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006094520205210010,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00026545220105020058,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005611720195210012,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00013322020175090005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001847120225090013,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10015966020195020032,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00005391520225120008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007628720225140403,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001154820215050025,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008302920225070016,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10003086220205020446,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10012968320215020467,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10003985620225020331,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006473320215020075,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10002199820205020006,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10018153420185020606,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002857820215050038,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00000263420225200005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006692620215200005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00113743220165090016,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00012669420175050023,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00013159620215120057,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00010453720225120025,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01005606520205010043,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005482520215190005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00009053420145190010,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10007211520205020078,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01006516020205010204,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00101924120215150057,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003248420225070038,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006916720215020264,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10000201720235020606,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10008136920205020085,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10016139820205020602,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10008040520215020431,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008847120215120054,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002898020215120019,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000465520225190004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005634520225190009,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10000125620215020203,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10008992120225020004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00009872420165060312,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10003092420215020313,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10010667420195020705,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10003823620175020054,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10004744520225020472,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002391920215060020,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
10023280720165020433,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001108320225120061,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006249320195090006,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00201431020195040001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00206456820195040123,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00205649520215040561,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008853620195060008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005156120225120048,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01013501520195010001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10009292120215020706,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002961720225120026,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10009680520205020463,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008019420145060142,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10010157320225020603,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01002065620205010264,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011858320215020052,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007895020175050612,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10019542820195020322,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006088520195020049,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00019812120135020263,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10015332720225020033,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006625320165210014,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00009806720145020262,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01010915320215010032,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01010666220175010070,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008679220215120035,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00010003520205120047,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001030720215060413,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004404420215050018,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10014579520215020046,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10003891020215020435,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001101920225020005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00146030520155010227,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000880720225060024,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001167220215120046,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00003812320215060311,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01000571820215010008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00011005820195060122,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00109372620215030034,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001671720205050013,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10007762520215020047,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006418320205020035,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10003443320215020232,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10015422720225020085,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006872220215020008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10007097920225020385,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005963920215100003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10004763020215020446,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006020920215060019,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002668720205060003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002533120145050196,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005678320225100801,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00109000320205150130,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00007364820225200007,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00125668420205150018,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00247401420205240071,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10024479120155020468,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01010527320205010070,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10007259620225020461,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004933020225050005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001956620225020502,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00120607020185150021,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00110422720225150133,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00103703120205150087,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00102365220205180141,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00014712020165050004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00013658020155050008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
