numero_tst,numero_g1,trt_region,g1_codigo,g1_resultado,tst_resultado,tst_codigo,worker_outcome,core
10012593520215020086,10012597320215020720,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10012592021502
10011181720225020042,10011181720225020042,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10011182022502
10001492920235020442,10001498120235020263,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10001492023502
10006001020175020072,10006004520175020319,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10006002017502
10011410820205020082,10011412620205020076,UNKNOWN,220,Improcedência,Provido,237,GANHOU,10011412020502
10005126620225020372,10005123220225020254,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10005122022502
00202991720195040027,00202995220195040371,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00202992019504
00108850720165150152,00108850920165150119,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00108852016515
10001111720215020303,10001118920215020085,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10001112021502
00206848620205040234,00206848820205040201,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00206842020504
10005582820175020082,10005589620175020027,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10005582017502
10006668520225020501,10006669020225020079,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10006662022502
10010810520225020716,10010817220225020047,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10010812022502
00003199320155050028,00003198320155050193,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00003192015505
00111059420215150001,00111059420215150001,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00111052021515
10015208920225020433,10015209420225020205,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10015202022502
00110914920215150086,00110912120215150063,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00110912021515
00005858920215060142,00005858920215060142,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00005852021506
01019414320175010034,01019414320175010034,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,01019412017501
00205745220215040008,00205743720215040013,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00205742021504
10009087920225020069,10009087520225020038,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10009082022502
10016982920195020082,10016982920195020082,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10016982019502
10003573820235020078,10003574620235020431,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10003572023502
01000173020215010010,01000177920215010026,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,01000172021501
10005544920175020386,10005547120175020023,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10005542017502
10008411420185020083,10008411420185020083,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10008412018502
10001903120185020002,10001904820185020255,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10001902018502
00013666620175120019,00013669020175120011,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00013662017512
00200725920215040511,00200721020215040010,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00200722021504
00101955820225030036,00101956220225030067,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00101952022503
10006721720185020442,10006729420185020481,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10006722018502
10014831420215020719,10014835020215020610,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10014832021502
00107343420165150122,00107348520165150008,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00107342016515
00111110420215150001,00111119020215150134,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00111112021515
00005966620235130009,00005966620235130009,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00005962023513
00000476620235050013,00000476620235050013,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00000472023505
10015295320175020004,10015297520175020029,UNKNOWN,219,Procedência,Provido,237,PERDEU,10015292017502
10011193720225020386,10011196520225020312,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10011192022502
10010727120215020718,10010723920215020373,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10010722021502
01005393120215010051,01005393120215010051,UNKNOWN,221,Procedência em Parte,Desprovido,236,GANHOU,01005392021501
10000616520205020613,10000611720205020241,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10000612020502
10008567120205020613,10008569020205020445,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10008562020502
10014752720225020032,10014758820225020432,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10014752022502
00104746120165150152,00104744620165150060,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00104742016515
00004778620175050026,00004778620175050026,UNKNOWN,221,Procedência em Parte,Desprovido,236,GANHOU,00004772017505
00101233020235030103,00101237020235030025,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00101232023503
00202169420205040017,00202161820205040301,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00202162020504
10011198220225020371,10011196520225020312,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10011192022502
10000678220235020608,10000673120235020043,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10000672023502
00202137520205040006,00202131220205040221,UNKNOWN,219,Procedência,Provido,237,PERDEU,00202132020504
00205354820205040733,00205350720205040003,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00205352020504
00004770720175050020,00004778620175050026,UNKNOWN,221,Procedência em Parte,Provido,237,PERDEU,00004772017505
10001757220215020385,10001757120215020062,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10001752021502
00006677620215050004,00006672220215050022,UNKNOWN,219,Procedência,Provido,237,PERDEU,00006672021505
00001283820205050201,00001283120205050462,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00001282020505
10002382620225020074,10002387020225020609,UNKNOWN,220,Improcedência,Provido,237,GANHOU,10002382022502
00204979820215040022,00204972320215040241,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00204972021504
00001168120235100006,00001168120235100103,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00001162023510
10009549220215020719,10009542320215020063,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10009542021502
00006190620215090005,00006193720215090124,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00006192021509
10011948720165020321,10011949020165020320,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10011942016502
00100208220235030051,00100207120235030184,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00100202023503
00006608120215230037,00006606220215230108,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00006602021523
10006889820225020322,10006880420225020612,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10006882022502
10014421920225020717,10014421120225020461,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10014422022502
10008895820215020441,10008890920215020231,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10008892021502
10012728720215020036,10012728720215020036,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10012722021502
10003664820225020041,10003669420225020446,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10003662022502
00122236220175150093,00122234820175150130,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00122232017515
10019527720225020605,10019527720225020605,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10019522022502
00108207220215150043,00108203620215150152,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00108202021515
00119917520195150062,00119917520195150062,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00119912019515
10008211620215020019,10008211620215020019,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10008212021502
10004861420235020702,10004863920235020435,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10004862023502
10015036020165020046,10015031720165020028,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10015032016502
10002906720225020059,10002906720225020059,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10002902022502
10004158720215020441,10004159220215020601,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10004152021502
00002009420215050005,00002009520215050037,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00002002021505
10001506320175020041,10001501120175020511,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10001502017502
00002810920175050191,00002810920175050191,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00002812017505
10010037820215020705,10010038820215020055,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10010032021502
01004955620165010481,01004953520165010003,UNKNOWN,221,Procedência em Parte,Provido,237,PERDEU,01004952016501
00200696720225040124,00200696720225040124,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00200692022504
00206043520225040402,00206043520225040402,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00206042022504
00201681420195040004,00201681420195040004,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00201682019504
00006728320215050009,00006722920215050027,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00006722021505
10008272520205020062,10008272120205020031,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10008272020502
01002835520215010062,01002830320215010047,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01002832021501
00110516920205150032,00110519020205150122,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00110512020515
10001910920215020035,10001912420215020612,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10001912021502
10008941720215020462,10008948320215020052,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10008942021502
00104166620205030018,00104166620205030018,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00104162020503
00113035620215150026,00113033520215150130,UNKNOWN,219,Procedência,Provido,237,PERDEU,00113032021515
00014106920155020040,00014103020155020053,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00014102015502
00106625220215150096,00106624020215150100,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00106622021515
00002721220215050028,00002728520215050036,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00002722021505
00006913720235190007,00006913720235190007,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00006912023519
00005987820215050025,00005987820215050025,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00005982021505
00001798320215100004,00001798320215100004,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00001792021510
10007775020205020045,10007777120205020232,UNKNOWN,220,Improcedência,Desprovido,242,PERDEU,10007772020502
00014607320165050009,00014600320165050194,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00014602016505
10007210620235020241,10007210620235020241,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007212023502
00002265320235090024,00002265320235090024,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00002262023509
00108563320225030005,00108561720225030075,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00108562022503
10023243820175020205,10023243120175020466,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10023242017502
00108758620225150043,00108758920225150042,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00108752022515
00105201620215150042,00105209120215150017,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00105202021515
00106421420215150047,00106425020215150035,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00106422021515
00114018420215150044,00114010220215150039,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00114012021515
00111293820215150126,00111297720215150113,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00111292021515
00205508820225040331,00205503520225040381,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00205502022504
00103653320215150003,00103658220215150019,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00103652021515
00106700920205150114,00106709520205150053,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00106702020515
10002547620235020063,10002547620235020063,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10002542023502
00110385520195150016,00110387020195150011,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00110382019515
00110096220205150115,00110090320205150070,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00110092020515
10007558420225020606,10007558420225020606,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007552022502
10004280720225020262,10004284220225020024,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10004282022502
00009521920225120011,00009521920225120011,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00009522022512
00205478120215040004,00205471220215040512,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00205472021504
00003398720195120048,00003392320195120037,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00003392019512
00206415220205040234,00206412720205040016,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00206412020504
00115908820165150092,00115907420165150129,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00115902016515
10001979020205020442,10001977420205020609,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10001972020502
10002930820205020442,10002930820205020442,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10002932020502
10012619620195020046,10012615420195020351,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10012612019502
00116916320155150124,00116916320155150124,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00116912015515
10002044320235020033,10002042020235020461,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10002042023502
00100840620205150135,00100845320205150087,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00100842020515
00002656820215050012,00002656820215050012,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00002652021505
00007203520225050291,00007203520225050291,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00007202022505
00103318420225150080,00103312620225150067,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00103312022515
00002722020195090012,00002722520195090657,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00002722019509
01008614220205010033,01008614220205010033,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01008612020501
10006336020225020254,10006336020225020254,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10006332022502
00114860820215150097,00114867520215150010,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00114862021515
00100605320215150131,00100602220215150012,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00100602021515
10006094220225020089,10006094020225020704,UNKNOWN,219,Procedência,Provido,237,PERDEU,10006092022502
00100777420195150094,00100776120195150066,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00100772019515
00106596320185150109,00106596320185150109,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00106592018515
00003071620195050036,00003078820195050012,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00003072019505
00113478120165030027,00113473820165030106,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00113472016503
00101471820225150052,00101471120225150022,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00101472022515
10013752720225020241,10013754620225020461,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10013752022502
00008654520235120038,00008654520235120038,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00008652023512
00007209320215120026,00007204220215120043,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00007202021512
00007444820225120039,00007444820225120039,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00007442022512
10006149420215020252,10006145220215020072,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10006142021502
10007161920215020446,10007168020215020361,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007162021502
10008196220205020704,10008199820205020013,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10008192020502
10019947620175020064,10019947820175020031,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10019942017502
10009345720195020433,10009342620195020702,UNKNOWN,220,Improcedência,Provido,237,GANHOU,10009342019502
10015255120225020065,10015254220225020068,UNKNOWN,220,Improcedência,Provido,237,GANHOU,10015252022502
10013794620205020011,10013793320205020080,UNKNOWN,219,Procedência,Provido,237,PERDEU,10013792020502
10007295820235020604,10007292820235020032,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007292023502
10016073420225020372,10016076320225020718,UNKNOWN,220,Improcedência,Provido,237,GANHOU,10016072022502
10004925620225020443,10004929320225020463,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10004922022502
10015750620225020315,10015754320225020044,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10015752022502
10013344120205020464,10013345220205020040,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10013342020502
10015025420225020373,10015026820225020045,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10015022022502
00001447020235200006,00001447020235200006,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00001442023520
10007380620225020232,10007383620225020319,UNKNOWN,220,Improcedência,Provido,237,GANHOU,10007382022502
00002821120215090007,00002828120215090016,UNKNOWN,221,Procedência em Parte,Provido,237,PERDEU,00002822021509
01004368620225010019,01004368620225010019,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01004362022501
00111832520205150001,00111839320205150140,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00111832020515
00113226520175150135,00113221720175150054,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00113222017515
10006235920215020057,10006230620215020301,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10006232021502
10002944120215020447,10002945020215020444,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10002942021502
10001094120225020714,10001091620225020011,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10001092022502
00202956120215040333,00202956120215040333,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00202952021504
00003842620215050401,00003845320215050004,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00003842021505
10009530920225020029,10009532820225020055,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10009532022502
00006454820185050028,00006453220185050195,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00006452018505
00004511720215120006,00004513920215120031,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00004512021512
00002725320225050003,00002720520225050019,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00002722022505
01011183020185010262,01011180520185010044,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01011182018501
10013010920175020318,10013010420175020061,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10013012017502
01007982320195010010,01007982320195010010,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01007982019501
01007135420215010014,01007135420215010014,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,01007132021501
10005258620205020323,10005256620205020071,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10005252020502
10007046220185020461,10007041020185020252,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007042018502
01004712120215010265,01004714920215010482,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01004712021501
10015364220185020511,10015360320185020718,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10015362018502
00002147820215050005,00002147520215050006,UNKNOWN,220,Improcedência,Provido,237,GANHOU,00002142021505
00014135120165050025,00014130820165050007,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00014132016505
00007941920185050004,00007941920185050004,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00007942018505
10014304720215020003,10014303920215020038,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10014302021502
00000091520225050005,00000092220225050132,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00000092022505
10010113320205020077,10010112120205020372,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10010112020502
10000067720225020053,10000065120225020385,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10000062022502
10006466820225020445,10006466820225020445,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10006462022502
10007332420235020078,10007332420235020078,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007332023502
10007613920225020203,10007613920225020203,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10007612022502
10004046320205020386,10004042920205020074,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10004042020502
01018938920165010076,01018931720165010003,UNKNOWN,221,Procedência em Parte,Desprovido,236,GANHOU,01018932016501
01018858820175010202,01018857920175010011,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,01018852017501
01008303220205010062,01008304020205010027,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,01008302020501
00004988920215050101,00004988920215050101,UNKNOWN,219,Procedência,Provido,237,PERDEU,00004982021505
00008124720225120055,00008124720225120055,UNKNOWN,219,Procedência,Provido,237,PERDEU,00008122022512
00001776620225093671,00001779020225090656,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00001772022509
01000584420215010059,01000586520215010052,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,01000582021501
00204048020215040008,00204049520215040003,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00204042021504
10003711020235020082,10003718420235020025,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10003712023502
00010046820175050016,00010040720175050101,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00010042017505
00004762320215050039,00004764120215050033,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00004762021505
10010203020205020421,10010200720205020461,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10010202020502
00004998420175200008,00004998420175200008,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00004992017520
00007217520175050006,00007218520175050132,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00007212017505
10004637620235020085,10004631820235020363,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10004632023502
