numero_processo,g1_fonte,g1_resultado,g2_resultado,tst_resultado,worker_outcome,tem_dados_reais_g1,core
10004083720205020019,NENHUMA,,,Desprovido,PERDEU,False,10004082020502
00003496920225050033,NENHUMA,,,Desprovido,PERDEU,False,00003492022505
00105425120225030114,NENHUMA,,,Provido,GANHOU,False,00105422022503
10025143120165020077,NENHUMA,,,Desprovido,PERDEU,False,10025142016502
00004587020235120060,NENHUMA,,,Desprovido,PERDEU,False,00004582023512
00011260520235090002,NENHUMA,,,Desprovido,PERDEU,False,00011262023509
00009427320225090652,NENHUMA,,,Desprovido,PERDEU,False,00009422022509
10010907920225020032,NENHUMA,,,Desprovido,PERDEU,False,10010902022502
10011537720225020720,NENHUMA,,,Desprovido,PERDEU,False,10011532022502
10005240420235020386,NENHUMA,,,Desprovido,PERDEU,False,10005242023502
10019344620195020610,NENHUMA,,,Desprovido,PERDEU,False,10019342019502
00120811020215150096,NENHUMA,,,Desprovido,PERDEU,False,00120812021515
00206951420215040030,NENHUMA,,,Desprovido,PERDEU,False,00206952021504
00111981420225150004,NENHUMA,,,Desprovido,PERDEU,False,00111982022515
10012506320225020466,NENHUMA,,,Desprovido,PERDEU,False,10012502022502
00005405320225170010,NENHUMA,,,Desprovido,PERDEU,False,00005402022517
10009826220225020319,NENHUMA,,,Desprovido,PERDEU,False,10009822022502
10014769720165020007,NENHUMA,,,Provido,GANHOU,False,10014762016502
00109568420225030167,NENHUMA,,,Desprovido,PERDEU,False,00109562022503
00113066120225150095,NENHUMA,,,Desprovido,PERDEU,False,00113062022515
10017027920225020076,NENHUMA,,,Provido,GANHOU,False,10017022022502
00114212520215150093,NENHUMA,,,Desprovido,PERDEU,False,00114212021515
00111082920235150082,NENHUMA,,,Provido,GANHOU,False,00111082023515
00205542620215040731,NENHUMA,,,Desprovido,PERDEU,False,00205542021504
01006202320215010069,NENHUMA,,,Desprovido,PERDEU,False,01006202021501
00207012520205040234,NENHUMA,,,Desprovido,PERDEU,False,00207012020504
00000901120215190004,NENHUMA,,,Desprovido,PERDEU,False,00000902021519
00108077120225030108,NENHUMA,,,Desprovido,PERDEU,False,00108072022503
00103342220235030053,NENHUMA,,,Desprovido,PERDEU,False,00103342023503
10007937820225020612,NENHUMA,,,Desprovido,PERDEU,False,10007932022502
10010509620225020291,NENHUMA,,,Desprovido,PERDEU,False,10010502022502
10010716620235020411,NENHUMA,,,Desprovido,PERDEU,False,10010712023502
10015037020215020471,NENHUMA,,,Desprovido,PERDEU,False,10015032021502
10022086720155020701,NENHUMA,,,Provido,GANHOU,False,10022082015502
01013807420165010027,NENHUMA,,,Desprovido,PERDEU,False,01013802016501
10005320220175020059,NENHUMA,,,Desprovido,PERDEU,False,10005322017502
00109607220225150043,NENHUMA,,,Desprovido,PERDEU,False,00109602022515
10007703820225020029,NENHUMA,,,Desprovido,PERDEU,False,10007702022502
00003227420225190008,NENHUMA,,,Desprovido,PERDEU,False,00003222022519
10015307820225020710,NENHUMA,,,Desprovido,PERDEU,False,10015302022502
00012207120235190002,NENHUMA,,,Desprovido,PERDEU,False,00012202023519
10018401520165020607,NENHUMA,,,Provido,GANHOU,False,10018402016502
00102501520235030055,NENHUMA,,,Desprovido,PERDEU,False,00102502023503
01004306020215010263,NENHUMA,,,Desprovido,PERDEU,False,01004302021501
00011367320135040023,NENHUMA,,,Desprovido,PERDEU,False,00011362013504
00110745820225030103,NENHUMA,,,Provido,GANHOU,False,00110742022503
00100336920235150044,NENHUMA,,,Desprovido,PERDEU,False,00100332023515
00210385620205040026,NENHUMA,,,Provido,GANHOU,False,00210382020504
00007688320235100011,NENHUMA,,,Desprovido,PERDEU,False,00007682023510
00008093520235110007,NENHUMA,,,Desprovido,PERDEU,False,00008092023511
00104250520235150110,NENHUMA,,,Desprovido,PERDEU,False,00104252023515
00206834920205040025,TST_PRESERVADO,Procedência,Provimento,Provido,PERDEU,True,00206832020504
00102586820225030138,NENHUMA,,,Desprovido,PERDEU,False,00102582022503
00205628120215040026,NENHUMA,,,Provido,GANHOU,False,00205622021504
00009290420205100010,NENHUMA,,,Desprovido,PERDEU,False,00009292020510
00100402220225150036,NENHUMA,,,Provido,GANHOU,False,00100402022515
00103766920205150109,NENHUMA,,,Desprovido,PERDEU,False,00103762020515
00207408620225040772,NENHUMA,,,Desprovido,PERDEU,False,00207402022504
00113816020215150055,NENHUMA,,,Desprovido,PERDEU,False,00113812021515
00106317920215150048,NENHUMA,,,Desprovido,PERDEU,False,00106312021515
00101350720205150106,NENHUMA,,,Desprovido,PERDEU,False,00101352020515
00003971520225050005,NENHUMA,,,Desprovido,PERDEU,False,00003972022505
00005115220225050037,NENHUMA,,,Desprovido,PERDEU,False,00005112022505
10014835720225020467,NENHUMA,,,Desprovido,PERDEU,False,10014832022502
00003393720215050008,NENHUMA,,,Desprovido,PERDEU,False,00003392021505
00003421320225050022,G2_REAL,Improcedência,,Desprovido,PERDEU,True,00003422022505
00003832820235050027,NENHUMA,,,Desprovido,PERDEU,False,00003832023505
00006359320195130012,NENHUMA,,,Desprovido,PERDEU,False,00006352019513
10004563620215020447,NENHUMA,,,Provido,GANHOU,False,10004562021502
00013415220235130007,NENHUMA,,,Desprovido,PERDEU,False,00013412023513
10009651320235020021,NENHUMA,,,Desprovido,PERDEU,False,10009652023502
00011419320235110009,NENHUMA,,,Desprovido,PERDEU,False,00011412023511
00008556420225110005,NENHUMA,,,Desprovido,PERDEU,False,00008552022511
00021222320155120059,NENHUMA,,,Desprovido,PERDEU,False,00021222015512
00206134420215040333,NENHUMA,,,Desprovido,PERDEU,False,00206132021504
10007134720235020720,NENHUMA,,,Desprovido,PERDEU,False,10007132023502
10005633420235020084,NENHUMA,,,Provido,GANHOU,False,10005632023502
00009162320225230026,NENHUMA,,,Desprovido,PERDEU,False,00009162022523
10012332720205020036,NENHUMA,,,Desprovido,PERDEU,False,10012332020502
00208620320175040020,G2_REAL,Improcedência,,Desprovido,PERDEU,True,00208622017504
10018265720175020005,NENHUMA,,,Desprovido,PERDEU,False,10018262017502
00110123820215150129,NENHUMA,,,Desprovido,PERDEU,False,00110122021515
10002481520235020081,NENHUMA,,,Desprovido,PERDEU,False,10002482023502
00104251420225150086,NENHUMA,,,Desprovido,PERDEU,False,00104252022515
00000480420215170008,NENHUMA,,,Desprovido,PERDEU,False,00000482021517
00106547320235150074,NENHUMA,,,Desprovido,PERDEU,False,00106542023515
00006923920225230009,NENHUMA,,,Desprovido,PERDEU,False,00006922022523
10011675220225020432,NENHUMA,,,Desprovido,PERDEU,False,10011672022502
00005789020215050024,NENHUMA,,,Desprovido,PERDEU,False,00005782021505
10011137420225020242,NENHUMA,,,Desprovido,PERDEU,False,10011132022502
00106050320205150053,NENHUMA,,,Desprovido,PERDEU,False,00106052020515
10009032620215020705,NENHUMA,,,Desprovido,PERDEU,False,10009032021502
00118968420195150049,NENHUMA,,,Desprovido,PERDEU,False,00118962019515
00100537420195150117,NENHUMA,,,Desprovido,PERDEU,False,00100532019515
00008176120215050132,NENHUMA,,,Desprovido,PERDEU,False,00008172021505
00007786020225050025,NENHUMA,,,Desprovido,PERDEU,False,00007782022505
00001536320215050024,NENHUMA,,,Provido,GANHOU,False,00001532021505
10010026220225020025,NENHUMA,,,Desprovido,PERDEU,False,10010022022502
10011508020235020076,NENHUMA,,,Desprovido,PERDEU,False,10011502023502
00115161820175030097,NENHUMA,,,Desprovido,PERDEU,False,00115162017503
10002211520225020001,NENHUMA,,,Provido,GANHOU,False,10002212022502
00107504120235030036,NENHUMA,,,Desprovido,PERDEU,False,00107502023503
00000890620215120009,NENHUMA,,,Desprovido,PERDEU,False,00000892021512
00103132920235150080,NENHUMA,,,Provido,GANHOU,False,00103132023515
00105776920225150116,NENHUMA,,,Desprovido,PERDEU,False,00105772022515
00107398020225030057,NENHUMA,,,Desprovido,PERDEU,False,00107392022503
00212875020195040023,NENHUMA,,,Desprovido,PERDEU,False,00212872019504
10009638420195020473,NENHUMA,,,Desprovido,PERDEU,False,10009632019502
00114802120145010037,NENHUMA,,,Desprovido,PERDEU,False,00114802014501
00007202320235170014,NENHUMA,,,Desprovido,PERDEU,False,00007202023517
00103394420225150021,NENHUMA,,,Desprovido,PERDEU,False,00103392022515
00110039520225030187,NENHUMA,,,Desprovido,PERDEU,False,00110032022503
00100296820225150011,NENHUMA,,,Desprovido,PERDEU,False,00100292022515
01008620320225010471,NENHUMA,,,Desprovido,PERDEU,False,01008622022501
00106860520235030077,NENHUMA,,,Desprovido,PERDEU,False,00106862023503
00105272720225030100,NENHUMA,,,Desprovido,PERDEU,False,00105272022503
00102006220235030063,NENHUMA,,,Desprovido,PERDEU,False,00102002023503
10002015820235020431,NENHUMA,,,Desprovido,PERDEU,False,10002012023502
10014408920215020715,NENHUMA,,,Provido,GANHOU,False,10014402021502
10002953320225020013,NENHUMA,,,Desprovido,PERDEU,False,10002952022502
10012138020225020613,NENHUMA,,,Provido,GANHOU,False,10012132022502
10010376920195020302,NENHUMA,,,Desprovido,PERDEU,False,10010372019502
00118897620175150077,G2_REAL,Improcedência,,Desprovido,PERDEU,True,00118892017515
00101599320215150043,NENHUMA,,,Desprovido,PERDEU,False,00101592021515
00168938120165160019,NENHUMA,,,Desprovido,PERDEU,False,00168932016516
10006167720205020065,NENHUMA,,,Desprovido,PERDEU,False,10006162020502
10004865920235020008,NENHUMA,,,Desprovido,PERDEU,False,10004862023502
10005888620235020071,NENHUMA,,,Desprovido,PERDEU,False,10005882023502
00002135320235050222,NENHUMA,,,Desprovido,PERDEU,False,00002132023505
10009322420215020011,NENHUMA,,,Desprovido,PERDEU,False,10009322021502
10018256720225020047,NENHUMA,,,Desprovido,PERDEU,False,10018252022502
00006076420235080129,NENHUMA,,,Desprovido,PERDEU,False,00006072023508
00009938120235090965,NENHUMA,,,Desprovido,PERDEU,False,00009932023509
00008018820235090015,NENHUMA,,,Desprovido,PERDEU,False,00008012023509
00006810420215090892,NENHUMA,,,Desprovido,PERDEU,False,00006812021509
00006525120215090892,NENHUMA,,,Desprovido,PERDEU,False,00006522021509
00005610720235090660,NENHUMA,,,Desprovido,PERDEU,False,00005612023509
00001392720215090652,NENHUMA,,,Desprovido,PERDEU,False,00001392021509
00117173620215150129,NENHUMA,,,Desprovido,PERDEU,False,00117172021515
00107240520215150125,NENHUMA,,,Desprovido,PERDEU,False,00107242021515
00117082520205150092,NENHUMA,,,Provido,GANHOU,False,00117082020515
00202041420225040372,NENHUMA,,,Desprovido,PERDEU,False,00202042022504
00105526920235150068,NENHUMA,,,Desprovido,PERDEU,False,00105522023515
00107397320225150113,NENHUMA,,,Desprovido,PERDEU,False,00107392022515
01007701320185010003,NENHUMA,,,Desprovido,PERDEU,False,01007702018501
00108841020215150067,NENHUMA,,,Desprovido,PERDEU,False,00108842021515
10013125020215020010,NENHUMA,,,Desprovido,PERDEU,False,10013122021502
00105703420215150077,NENHUMA,,,Desprovido,PERDEU,False,00105702021515
00104053220215150062,NENHUMA,,,Desprovido,PERDEU,False,00104052021515
00105123920215150042,NENHUMA,,,Desprovido,PERDEU,False,00105122021515
01001793620235010016,NENHUMA,,,Desprovido,PERDEU,False,01001792023501
00100022020235030097,NENHUMA,,,Desprovido,PERDEU,False,00100022023503
01003893120215010025,NENHUMA,,,Desprovido,PERDEU,False,01003892021501
00004458620235170010,NENHUMA,,,Desprovido,PERDEU,False,00004452023517
00107257620235150009,NENHUMA,,,Desprovido,PERDEU,False,00107252023515
00108616820225150119,NENHUMA,,,Desprovido,PERDEU,False,00108612022515
00008933620225200002,NENHUMA,,,Desprovido,PERDEU,False,00008932022520
00202085420225040371,NENHUMA,,,Desprovido,PERDEU,False,00202082022504
01001390820215010248,NENHUMA,,,Desprovido,PERDEU,False,01001392021501
10004474620235020466,NENHUMA,,,Desprovido,PERDEU,False,10004472023502
00008164620225050551,NENHUMA,,,Desprovido,PERDEU,False,00008162022505
00004651120215050001,NENHUMA,,,Desprovido,PERDEU,False,00004652021505
00004130220225120028,NENHUMA,,,Desprovido,PERDEU,False,00004132022512
10017346520235020071,NENHUMA,,,Desprovido,PERDEU,False,10017342023502
00012064820225090084,NENHUMA,,,Desprovido,PERDEU,False,00012062022509
00007411020225090029,NENHUMA,,,Desprovido,PERDEU,False,00007412022509
00000349320235090130,NENHUMA,,,Desprovido,PERDEU,False,00000342023509
00212367620185040022,NENHUMA,,,Desprovido,PERDEU,False,00212362018504
00209822920205040024,NENHUMA,,,Desprovido,PERDEU,False,00209822020504
10006555120215020029,NENHUMA,,,Desprovido,PERDEU,False,10006552021502
00002679220205100801,NENHUMA,,,Desprovido,PERDEU,False,00002672020510
00205474320195040007,NENHUMA,,,Desprovido,PERDEU,False,00205472019504
01012397020165010022,NENHUMA,,,Desprovido,PERDEU,False,01012392016501
10006401120235020030,NENHUMA,,,Desprovido,PERDEU,False,10006402023502
00005552120195090084,NENHUMA,,,Desprovido,PERDEU,False,00005552019509
00000906520225050133,NENHUMA,,,Desprovido,PERDEU,False,00000902022505
00012647120235130030,NENHUMA,,,Desprovido,PERDEU,False,00012642023513
10008668120165020023,NENHUMA,,,Desprovido,PERDEU,False,10008662016502
00003447620225120025,NENHUMA,,,Provido,GANHOU,False,00003442022512
00008018220215120045,NENHUMA,,,Desprovido,PERDEU,False,00008012021512
01006554620205010512,NENHUMA,,,Desprovido,PERDEU,False,01006552020501
01013172420185010045,NENHUMA,,,Desprovido,PERDEU,False,01013172018501
01002236920225010055,NENHUMA,,,Desprovido,PERDEU,False,01002232022501
00008250820225100021,NENHUMA,,,Desprovido,PERDEU,False,00008252022510
10014078920215020201,NENHUMA,,,Desprovido,PERDEU,False,10014072021502
00002067020235070007,NENHUMA,,,Desprovido,PERDEU,False,00002062023507
00001488920225050029,NENHUMA,,,Provido,GANHOU,False,00001482022505
00005712620185120019,NENHUMA,,,Provido,GANHOU,False,00005712018512
00101809820175030025,NENHUMA,,,Provido,GANHOU,False,00101802017503
00105651820235150117,NENHUMA,,,Desprovido,PERDEU,False,00105652023515
10004196820185020332,NENHUMA,,,Desprovido,PERDEU,False,10004192018502
10026005220165020610,NENHUMA,,,Desprovido,PERDEU,False,10026002016502
10011076120235020071,NENHUMA,,,Desprovido,PERDEU,False,10011072023502
10010849220235020402,NENHUMA,,,Desprovido,PERDEU,False,10010842023502
10009134820235020431,NENHUMA,,,Desprovido,PERDEU,False,10009132023502
10006714120235020059,NENHUMA,,,Desprovido,PERDEU,False,10006712023502
00111215720235180013,NENHUMA,,,Desprovido,PERDEU,False,00111212023518
00000380420145020046,NENHUMA,,,Desprovido,PERDEU,False,00000382014502
01002251020215010076,NENHUMA,,,Desprovido,PERDEU,False,01002252021501
00207510320215040271,NENHUMA,,,Desprovido,PERDEU,False,00207512021504
00105322220215150077,NENHUMA,,,Provido,GANHOU,False,00105322021515
00201932420215040241,NENHUMA,,,Desprovido,PERDEU,False,00201932021504
00105124920225030006,NENHUMA,,,Desprovido,PERDEU,False,00105122022503
00209476120215040662,NENHUMA,,,Desprovido,PERDEU,False,00209472021504
00107790820145010022,NENHUMA,,,Desprovido,PERDEU,False,00107792014501
01009712520205010006,NENHUMA,,,Desprovido,PERDEU,False,01009712020501
10000096720185020313,NENHUMA,,,Desprovido,PERDEU,False,10000092018502
00108994320225030110,NENHUMA,,,Desprovido,PERDEU,False,00108992022503
00005841420235050029,NENHUMA,,,Desprovido,PERDEU,False,00005842023505
00019845420225120045,NENHUMA,,,Desprovido,PERDEU,False,00019842022512
00006717020225050007,NENHUMA,,,Desprovido,PERDEU,False,00006712022505
10015819820225020610,NENHUMA,,,Desprovido,PERDEU,False,10015812022502
01003572420215010058,NENHUMA,,,Desprovido,PERDEU,False,01003572021501
00113677120235030142,NENHUMA,,,Desprovido,PERDEU,False,00113672023503
00000907420155020010,NENHUMA,,,Desprovido,PERDEU,False,00000902015502
10016427420225020604,NENHUMA,,,Desprovido,PERDEU,False,10016422022502
00001943520235060023,NENHUMA,,,Desprovido,PERDEU,False,00001942023506
00002654720235090122,NENHUMA,,,Desprovido,PERDEU,False,00002652023509
00163156520235160022,NENHUMA,,,Desprovido,PERDEU,False,00163152023516
01000863320205010225,NENHUMA,,,Desprovido,PERDEU,False,01000862020501
00002044720225100009,NENHUMA,,,Desprovido,PERDEU,False,00002042022510
00205532020225040371,NENHUMA,,,Desprovido,PERDEU,False,00205532022504
00205339220205040017,NENHUMA,,,Provido,GANHOU,False,00205332020504
01008683720215010053,NENHUMA,,,Desprovido,PERDEU,False,01008682021501
01018328020175010017,NENHUMA,,,Desprovido,PERDEU,False,01018322017501
00103804220225150043,NENHUMA,,,Desprovido,PERDEU,False,00103802022515
00246252320225240006,NENHUMA,,,Desprovido,PERDEU,False,00246252022524
10010775820225020201,NENHUMA,,,Desprovido,PERDEU,False,10010772022502
01011885620205010204,NENHUMA,,,Desprovido,PERDEU,False,01011882020501
00010596120235190002,NENHUMA,,,Desprovido,PERDEU,False,00010592023519
00006702820225050026,G2_REAL,Improcedência,,Provido,GANHOU,True,00006702022505
00000372320185090195,NENHUMA,,,Desprovido,PERDEU,False,00000372018509
10004585120165020715,NENHUMA,,,Desprovido,PERDEU,False,10004582016502
00111665320215150130,NENHUMA,,,Desprovido,PERDEU,False,00111662021515
10012325820225020008,NENHUMA,,,Desprovido,PERDEU,False,10012322022502
00111045020215150053,NENHUMA,,,Provido,GANHOU,False,00111042021515
10015468920225020012,NENHUMA,,,Provido,GANHOU,False,10015462022502
10007776620225020502,NENHUMA,,,Desprovido,PERDEU,False,10007772022502
00103025720205150095,NENHUMA,,,Desprovido,PERDEU,False,00103022020515
10006969320225020704,NENHUMA,,,Desprovido,PERDEU,False,10006962022502
00110207920205150119,NENHUMA,,,Desprovido,PERDEU,False,00110202020515
00003544920205050102,NENHUMA,,,Desprovido,PERDEU,False,00003542020505
00203599220145040373,NENHUMA,,,Provido,GANHOU,False,00203592014504
00008567120175050464,G2_REAL,Procedência em Parte,,Desprovido,GANHOU,True,00008562017505
00003459320235120003,NENHUMA,,,Desprovido,PERDEU,False,00003452023512
00203470620225040371,NENHUMA,,,Desprovido,PERDEU,False,00203472022504
10003310220235020608,NENHUMA,,,Desprovido,PERDEU,False,10003312023502
01002398520215010078,NENHUMA,,,Provido,GANHOU,False,01002392021501
10019645020165020719,NENHUMA,,,Desprovido,PERDEU,False,10019642016502
10000857920235020034,NENHUMA,,,Desprovido,PERDEU,False,10000852023502
10006572820215020447,NENHUMA,,,Desprovido,PERDEU,False,10006572021502
10006009820225020471,NENHUMA,,,Desprovido,PERDEU,False,10006002022502
10014103320235020473,NENHUMA,,,Desprovido,PERDEU,False,10014102023502
10006054020235020066,NENHUMA,,,Desprovido,PERDEU,False,10006052023502
00205551320215040601,NENHUMA,,,Desprovido,PERDEU,False,00205552021504
00203258120205040026,NENHUMA,,,Desprovido,PERDEU,False,00203252020504
00201521620215040772,NENHUMA,,,Desprovido,PERDEU,False,00201522021504
10011456020235020043,NENHUMA,,,Desprovido,PERDEU,False,10011452023502
01009158120215010062,NENHUMA,,,Desprovido,PERDEU,False,01009152021501
01007241820215010262,NENHUMA,,,Desprovido,PERDEU,False,01007242021501
00005204120225050028,G2_REAL,Improcedência,,Desprovido,PERDEU,True,00005202022505
10006967320175020056,NENHUMA,,,Desprovido,PERDEU,False,10006962017502
10014129320215020013,NENHUMA,,,Desprovido,PERDEU,False,10014122021502
10001801820225020011,NENHUMA,,,Desprovido,PERDEU,False,10001802022502
00112298920225030029,NENHUMA,,,Desprovido,PERDEU,False,00112292022503
00006473020225050011,G2_REAL,Procedência em Parte,,Desprovido,GANHOU,True,00006472022505
10008930520225020007,NENHUMA,,,Desprovido,PERDEU,False,10008932022502
00005647020235130006,NENHUMA,,,Desprovido,PERDEU,False,00005642023513
10004665620225020088,NENHUMA,,,Desprovido,PERDEU,False,10004662022502
00009197020175090663,NENHUMA,,,Desprovido,PERDEU,False,00009192017509
10012243320225020703,NENHUMA,,,Desprovido,PERDEU,False,10012242022502
00106727620225030167,NENHUMA,,,Desprovido,PERDEU,False,00106722022503
00001997620235110004,NENHUMA,,,Desprovido,PERDEU,False,00001992023511
00103671020225030065,NENHUMA,,,Desprovido,PERDEU,False,00103672022503
01011974320165010241,NENHUMA,,,Desprovido,PERDEU,False,01011972016501
01001426320235010483,NENHUMA,,,Desprovido,PERDEU,False,01001422023501
00003361820225050018,NENHUMA,,,Desprovido,PERDEU,False,00003362022505
00005365320175050421,G2_REAL,Improcedência,,Desprovido,PERDEU,True,00005362017505
00003828720215050035,NENHUMA,,,Desprovido,PERDEU,False,00003822021505
10002733020225020318,NENHUMA,,,Desprovido,PERDEU,False,10002732022502
00118137820225150044,NENHUMA,,,Desprovido,PERDEU,False,00118132022515
00107111020225150080,NENHUMA,,,Desprovido,PERDEU,False,00107112022515
00015459820225120059,NENHUMA,,,Desprovido,PERDEU,False,00015452022512
00009983420215120046,NENHUMA,,,Desprovido,PERDEU,False,00009982021512
00005208820115020067,NENHUMA,,,Desprovido,PERDEU,False,00005202011502
10006608120235020036,NENHUMA,,,Desprovido,PERDEU,False,10006602023502
00007735020195090892,NENHUMA,,,Desprovido,PERDEU,False,00007732019509
00112149820195030038,NENHUMA,,,Desprovido,PERDEU,False,00112142019503
00111559120225030075,NENHUMA,,,Desprovido,PERDEU,False,00111552022503
00012967720225120050,NENHUMA,,,Desprovido,PERDEU,False,00012962022512
